time;temperature [C]
12/09/2023 17:32;25,5
12/09/2023 18:32;24,3
12/09/2023 19:33;19,7
12/09/2023 20:33;20,0
12/09/2023 21:34;19,4
12/09/2023 22:34;16,2
12/09/2023 23:34;14,9
13/09/2023 01:36;15,8
13/09/2023 01:36;15,8
13/09/2023 02:36;16,7
13/09/2023 03:37;17,3
13/09/2023 04:37;17,0
13/09/2023 05:38;17,2
13/09/2023 06:38;17,3
13/09/2023 07:39;19,2
13/09/2023 07:39;19,2
13/09/2023 08:39;19,1
13/09/2023 08:39;19,1
13/09/2023 09:39;21,0
13/09/2023 09:39;21,0
13/09/2023 10:40;20,4
13/09/2023 10:40;20,4
13/09/2023 11:40;22,2
13/09/2023 11:40;22,2
13/09/2023 12:41;22,0
13/09/2023 12:41;22,0
13/09/2023 13:41;22,2
13/09/2023 13:41;22,2
13/09/2023 14:42;22,7
13/09/2023 14:42;22,7
13/09/2023 15:42;22,0
13/09/2023 15:42;22,0
13/09/2023 16:42;21,7
13/09/2023 16:42;21,7
13/09/2023 17:43;20,8
13/09/2023 17:43;20,8
13/09/2023 18:43;17,5
13/09/2023 18:43;17,5
13/09/2023 19:44;16,2
13/09/2023 19:44;16,2
13/09/2023 20:44;17,5
13/09/2023 20:44;17,5
13/09/2023 21:44;17,0
13/09/2023 21:44;17,0
13/09/2023 22:45;15,5
13/09/2023 22:45;15,5
13/09/2023 23:45;13,1
13/09/2023 23:45;13,1
14/09/2023 00:46;12,1
14/09/2023 00:46;12,1
14/09/2023 01:46;11,4
14/09/2023 01:46;11,4
14/09/2023 02:47;11,4
14/09/2023 02:47;11,4
14/09/2023 03:47;10,7
14/09/2023 03:47;10,7
14/09/2023 16:59;20,4
14/09/2023 16:59;20,4
14/09/2023 17:59;19,2
14/09/2023 19:00;15,9
14/09/2023 20:00;15,0
14/09/2023 21:00;11,9
14/09/2023 21:01;11,9
14/09/2023 22:01;10,6
14/09/2023 23:02;9,5
15/09/2023 00:02;9,5
15/09/2023 01:03;8,5
15/09/2023 02:03;8,0
15/09/2023 02:03;8,0
15/09/2023 03:04;7,7
15/09/2023 04:04;7,0
15/09/2023 05:05;6,5
15/09/2023 17:15;22,7
15/09/2023 17:16;22,7
15/09/2023 18:16;20,0
15/09/2023 18:16;20,0
15/09/2023 19:17;18,0
15/09/2023 20:17;15,3
15/09/2023 21:18;14,4
15/09/2023 22:18;13,9
15/09/2023 23:18;13,0
16/09/2023 00:19;12,4
16/09/2023 00:19;12,4
16/09/2023 01:20;11,8
16/09/2023 02:20;11,1
16/09/2023 03:20;10,9
16/09/2023 04:21;10,5
16/09/2023 05:21;10,2
16/09/2023 06:22;9,6
16/09/2023 07:22;11,8
16/09/2023 07:22;11,8
17/09/2023 09:46;25,5
17/09/2023 09:46;25,5
17/09/2023 09:46;25,5
17/09/2023 10:47;25,5
17/09/2023 11:47;25,7
17/09/2023 12:48;26,6
17/09/2023 13:48;27,0
17/09/2023 13:49;27,0
17/09/2023 14:49;27,4
17/09/2023 14:49;27,4
17/09/2023 15:50;26,6
17/09/2023 16:50;26,8
17/09/2023 17:50;23,5
17/09/2023 18:51;20,5
17/09/2023 19:51;19,3
17/09/2023 20:52;17,5
17/09/2023 20:52;17,5
17/09/2023 21:52;16,2
